"[Using IT, Research, Career Development]",R Fundamentals 1: Numerical Variables (online),Data science tools and coding,9541875,29/11/2021 10:00,29/11/2021 11:00,https://lse.zoom.us/j/82078627399,[Arina Ghanizadegan],3
"[Using IT, Research, Career Development]",Python Fundamentals 2: String Variables (online),Data science tools and coding,9579523,18/01/2022 13:00,18/01/2022 14:00,https://lse.zoom.us/j/84527630297,[Giorgia Cecchinato],9
"[Problem solving, Using IT, Career Development, Application of information skills]",Excel 4b: Pivot Tables (online),Productivity tools,9689240,14/06/2022 14:00,14/06/2022 15:00,MS TEAMS,"[Manuela Capony, Kara Jessup]",6
"[Problem solving, Using IT, Career Development, Application of information skills]",Excel 3: Essential Functions,Productivity tools,9520021,04/11/2021 17:00,04/11/2021 18:00,LRB.R08,"[Jing Soh, Lidya Stamper, Nedelin Velikov]",1
"[Specific skills, Using IT, Research, Career Development]","R Fundamentals 3: Strings, Factors, and Type Conversion",Data science tools and coding,9628948,30/03/2022 12:00,30/03/2022 13:00,LBR.R.08,[Arina Ghanizadegan],3
"[Problem solving, Using IT, Career Development, Application of information skills]",Excel 5: Complex Calculations (online),Productivity tools,9679602,30/05/2022 11:00,30/05/2022 12:00,MS TEAMS,"[Eshwar Seshagiri, Lidya Stamper]",4
"[Using IT, Research, Career Development]",Working with Tabular Data 1: NumPy Arrays (online),Data science tools and coding,9598253,08/02/2022 17:00,08/02/2022 18:00,https://lse.zoom.us/j/86377657285,[Kashvi Gandhi],5
"[Using IT, Research, Career Development]",Python Fundamentals 4: Lists,Data science tools and coding,9485864,17/02/2022 13:00,17/02/2022 14:00,LBR.R.08,[Sara Luxmoore],3
"[Problem solving, Using IT, Career Development, Application of information skills]",Word 1: Dissertation Timesavers and Troubleshooting (online),Productivity tools,9580275,26/01/2022 16:00,26/01/2022 17:00,MS TEAMS,"[Kara Jessup, Jing Soh]",3
"[Problem solving, Using IT, Career Development, Application of information skills]",Excel 5: Complex Calculations (online),Productivity tools,9624235,08/03/2022 14:00,08/03/2022 15:00,MS TEAMS,"[Kara Jessup, Eshwar Seshagiri]",5
"[Using IT, Research, Career Development]",Python Fundamentals 8: Conditionals (online),Data science tools and coding,9486365,22/11/2021 11:00,22/11/2021 12:00,https://lse.zoom.us/j/89641912188,[Michael Wiemers],1
"[Using IT, Research, Career Development]",Python Fundamentals 4: Lists (online),Data science tools and coding,9623639,01/03/2022 14:00,01/03/2022 15:00,https://lse.zoom.us/j/88194795658,[Giorgia Cecchinato],3
"[Problem solving, Using IT, Career Development, Application of information skills]",Excel 4a: Lookup Functions (online),Productivity tools,9527637,29/11/2021 13:00,29/11/2021 14:00,MS TEAMS,"[Bardia Bijani Aval, Bethanie Lim]",4
"[Using IT, Research, Career Development]",Python Fundamentals 2: String Variables (online),Data science tools and coding,9547175,09/12/2021 16:00,09/12/2021 17:00,https://lse.zoom.us/j/84527630297,[Arina Ghanizadegan],4
"[Using IT, Research, Career Development]","R Fundamentals 2: Vectors, Functions, and Indexing (online)",Data science tools and coding,9640538,25/03/2022 12:00,25/03/2022 13:00,https://lse.zoom.us/j/88220890052,[Maria Lopez],4
"[Using IT, Research, Career Development]",Tableau 1: Introduction to Tableau (online),Data science tools and coding,9579626,20/01/2022 13:00,20/01/2022 14:00,https://lse.zoom.us/j/86303415216,[Giorgia Cecchinato],5
"[Problem solving, Using IT, Career Development, Application of information skills]",VBA 2: Worksheet Manipulation (online),Productivity tools,9679532,23/05/2022 12:00,23/05/2022 13:00,MS TEAMS,"[Manuela Capony, Eshwar Seshagiri]",4
"[Using IT, Research, Career Development]",R Fundamentals 1: Numerical Variables (online),Data science tools and coding,9623706,04/03/2022 13:00,04/03/2022 14:00,https://lse.zoom.us/j/84547282868,[Maria Lopez],3
"[Problem solving, Using IT, Career Development, Application of information skills]",VBA 4: Debugging and Troubleshooting,Productivity tools,9679664,01/06/2022 10:00,01/06/2022 11:00,LBR.R.08,"[Bardia Bijani Aval, Eshwar Seshagiri]",3
"[Using IT, Research, Career Development]",Python Fundamentals 1: Numerical Variables (online),Data science tools and coding,9640547,24/03/2022 14:00,24/03/2022 15:00,https://lse.zoom.us/j/82966465093,[Ximin Chen],2
"[Problem solving, Using IT, Career Development, Application of information skills]",Excel 3: Essential Functions (online),Productivity tools,9527148,25/11/2021 18:00,25/11/2021 19:00,MS TEAMS,"[Bardia Bijani Aval, Shurjo Rana]",3
