Country Name,Country Code,Region,renergy,gdp,co2
Europe & Central Asia (IDA & IBRD countries),TEC,Sub-Saharan Africa,7.14818365,3.62213E+12,6.883339219
Togo,TGO,East Asia & Pacific,71.26466714,4180866177,0.248526524
Thailand,THA,Europe & Central Asia,22.86307013,4.01296E+11,3.82859407
Tajikistan,TJK,Europe & Central Asia,44.65920392,8271454301,0.563045813
Turkmenistan,TKM,,0.040887886,35799714286,12.95172231
Latin America & the Caribbean (IDA & IBRD countries),TLA,East Asia & Pacific,27.87435882,5.30226E+12,2.841497186
Timor-Leste,TLS,,18.22368928,1594410800,0.5099081
Middle East & North Africa (IDA & IBRD countries),TMN,East Asia & Pacific,2.490436392,1.41442E+12,3.825907966
Tonga,TON,,1.879751582,437006227.2,1.091486406
South Asia (IDA & IBRD),TSA,,38.27538465,2.70021E+12,1.384815574
Sub-Saharan Africa (IDA & IBRD countries),TSS,Latin America & Caribbean,70.12737498,1.65098E+12,0.781518154
Trinidad and Tobago,TTO,Middle East & North Africa,0.284205764,24959858249,15.51448846
Tunisia,TUN,Europe & Central Asia,12.56235035,43173531811,2.653857785
Turkey,TUR,East Asia & Pacific,13.37423004,8.64317E+11,4.47717596
Tuvalu,TUV,Sub-Saharan Africa,0,35492074.22,0.90098207
Tanzania,TZA,Sub-Saharan Africa,85.71304194,47378599025,0.227066841
Uganda,UGA,Europe & Central Asia,89.05794898,32248116473,0.127140436
Ukraine,UKR,,4.144318039,91030959455,4.227086146
Upper middle income,UMC,Latin America & Caribbean,14.03373024,1.98934E+13,6.150867089
Uruguay,URY,North America,58.02204118,53274304222,1.931411164
United States,USA,Europe & Central Asia,8.716935867,1.82383E+13,15.53534211
Uzbekistan,UZB,Latin America & Caribbean,2.9701787,81847410182,3.24388397
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,5.807433397,755400000,2.015851927
"Venezuela, RB",VEN,Latin America & Caribbean,12.84157855,,5.780234026
British Virgin Islands,VGB,Latin America & Caribbean,1.229135669,,
Virgin Islands (U.S.),VIR,East Asia & Pacific,3.877525214,3748000000,
Vietnam,VNM,East Asia & Pacific,34.99856984,1.93241E+11,2.257300246
Vanuatu,VUT,,36.1110646,730870581.7,0.516361276
World,WLD,East Asia & Pacific,18.05375499,7.52336E+13,4.488770091
Samoa,WSM,Europe & Central Asia,34.32489441,788307330.6,1.240245982
Kosovo,XKX,Middle East & North Africa,20.45090897,6442915788,
"Yemen, Rep.",YEM,Sub-Saharan Africa,2.276416687,42445102387,0.536269296
South Africa,ZAF,Sub-Saharan Africa,17.15014125,3.17621E+11,7.671201555
Zambia,ZMB,Sub-Saharan Africa,87.98545236,21251216799,0.319282188
Zimbabwe,ZWE,,81.79780855,19963120600,0.89759836
